"perfil","set","desenlace","riesgo_30d","riesgo_90d","riesgo_365d","rmst_365d"
"A","s1","mortalidad",2.3,5.8,18.2,328
"A","s1","combIC",6.1,13.2,33.1,292
"A","s2","mortalidad",0.2,0.6,2.3,361
"A","s2","combIC",2.6,6,17.1,329
"A","s3","mortalidad",0.3,1,3.5,358
"A","s3","combIC",2.4,5.7,16.8,330
"B","s1","mortalidad",9.1,21.9,56.4,240
"B","s1","combIC",19.3,38.5,74.8,178
"B","s2","mortalidad",3.6,10,33.2,299
"B","s2","combIC",13.8,29.7,65.5,210
"B","s3","mortalidad",4.2,11.2,35.9,293
"B","s3","combIC",14.5,31.8,69.8,199
"C","s1","mortalidad",11.4,26.8,64.8,218
"C","s1","combIC",29,54,88.9,124
"C","s2","mortalidad",9.6,25.3,67.4,217
"C","s2","combIC",31.7,59.6,93.5,105
"C","s3","mortalidad",10.9,27.8,70.3,207
"C","s3","combIC",34.6,64.6,96.1,90
